DATETIME;GR;IT;BG;HU;TR;SR
2021-01-01T00:00:00Z;50.87;50.87;49.95;45.54;26.31;38.89
2021-01-01T01:00:00Z;48.19;48.19;48.05;41.59;24.06;34.86
2021-01-01T02:00:00Z;44.68;44.68;49.62;40.05;24.21;33.62
2021-01-01T03:00:00Z;42.92;42.92;46.73;36.9;23.2;28.25
2021-01-01T04:00:00Z;40.39;40.39;45.39;34.47;23.2;29.03
2021-01-01T05:00:00Z;20.96;40.2;44.25;32.82;26.31;29.22
2021-01-01T06:00:00Z;39.63;39.63;36.34;27.7;24.98;29.71
2021-01-01T07:00:00Z;40.1;40.09;19.97;15;26.31;1.08
2021-01-01T08:00:00Z;20;41.27;20;8.43;24.04;1.1
2021-01-01T09:00:00Z;40.74;41.67;20.43;20.77;26.31;36.07
2021-01-01T10:00:00Z;45;45;20.16;27.7;24.49;1.1
2021-01-01T11:00:00Z;47.2;47.2;22.25;38.91;24.22;33.06
2021-01-01T12:00:00Z;48.43;48.43;22.25;41.78;26.31;35.21
2021-01-01T13:00:00Z;24.85;45.49;28.99;41.3;26.31;27.65
2021-01-01T14:00:00Z;44.73;44.73;44.77;42.74;24.24;22.5
2021-01-01T15:00:00Z;46.59;46.59;51.08;43.06;31.64;29.58
2021-01-01T16:00:00Z;52.99;52.99;51.11;49.33;35.23;47.06
2021-01-01T17:00:00Z;60.26;60.26;51.45;54.81;35.86;52.03
2021-01-01T18:00:00Z;60.61;60.61;51.44;55;35.58;51.45
2021-01-01T19:00:00Z;60.36;60.36;51.23;55;35.43;51.71
2021-01-01T20:00:00Z;57.4;57.4;51.11;54.74;35.08;45.43
2021-01-01T21:00:00Z;53.86;53.86;51.28;51.5;34.81;41.85
2021-01-01T22:00:00Z;53.45;53.45;51.25;51.25;34.5;42.04
2021-01-01T23:00:00Z;49.72;49.72;51.36;46.83;34;36.54
2021-01-02T00:00:00Z;46.69;46.69;46.07;44.1;32.91;45.43
2021-01-02T01:00:00Z;42.43;42.43;40.06;38.54;28.12;40.16
2021-01-02T02:00:00Z;41.09;41.09;38.02;38.08;27.21;39.09
2021-01-02T03:00:00Z;27.26;40;29.67;37.1;26;36.12
2021-01-02T04:00:00Z;20.08;20.08;31.7;36.88;27.21;35.42
2021-01-02T05:00:00Z;39;39;43.57;37.2;28.41;37.2
2021-01-02T06:00:00Z;42.09;42.09;48.6;40.56;29.62;36.81
2021-01-02T07:00:00Z;46.57;46.57;51.14;45.2;31.26;39.81
2021-01-02T08:00:00Z;31.88;51.33;51.14;49.67;31.26;46.15
2021-01-02T09:00:00Z;48.81;54.6;51.14;55.43;30.54;51.04
2021-01-02T10:00:00Z;48.81;53.17;51.14;57.33;29.62;53.3
2021-01-02T11:00:00Z;48.81;52;51.14;57.4;28.85;54.53
2021-01-02T12:00:00Z;48.81;55.95;51.14;56.9;32.65;55.06
2021-01-02T13:00:00Z;40.45;52;51.13;55.3;34.22;51.1
2021-01-02T14:00:00Z;51.68;52;51.14;55;34.58;51.05
2021-01-02T15:00:00Z;53.89;53.89;51.16;56.32;35.05;51.69
2021-01-02T16:00:00Z;59.99;59.99;51.16;63.1;36.11;59.3
2021-01-02T17:00:00Z;62;62;51.17;67.49;36.64;63.8
2021-01-02T18:00:00Z;63.08;63.08;51.17;66.99;36.2;61.81
2021-01-02T19:00:00Z;62.17;62.17;51.16;63.45;35.67;59.75
2021-01-02T20:00:00Z;60.03;60.03;51.15;57.92;35.21;56.13
2021-01-02T21:00:00Z;48.35;55.03;51.14;53.25;34.8;50.08
2021-01-02T22:00:00Z;48.35;52.25;45.04;52.78;34.21;50.07
2021-01-02T23:00:00Z;48.35;48.45;38.1;48.08;34.11;45.1
2021-01-03T00:00:00Z;46.11;46.11;20.47;39.01;34.23;27
2021-01-03T01:00:00Z;43;43;17.52;28.55;34.02;17.51
2021-01-03T02:00:00Z;35;39.55;16.21;20.41;29.62;11.94
2021-01-03T03:00:00Z;28.54;37.44;18.02;23.91;27.21;7.03
2021-01-03T04:00:00Z;16.2;35.64;9.05;20;26;10.03
2021-01-03T05:00:00Z;20.11;35.5;19.97;26.04;26.11;15.25
2021-01-03T06:00:00Z;22.12;36.14;23.39;28.78;27.02;1.59
2021-01-03T07:00:00Z;36.97;36.97;20.9;34.5;29.02;18
2021-01-03T08:00:00Z;41.07;41.07;44.07;37.5;27.18;27.9
2021-01-03T09:00:00Z;44.49;44.49;48.17;39.01;29.33;36.3
2021-01-03T10:00:00Z;49;49;51.08;41.2;29.61;40.05
2021-01-03T11:00:00Z;49;50.3;51.09;43.51;31.1;41.28
2021-01-03T12:00:00Z;44.4;52.04;51.09;43.04;29.62;40.88
2021-01-03T13:00:00Z;38.55;46.64;51.09;42.34;28.52;40.02
2021-01-03T14:00:00Z;43.73;44.01;51.08;42.9;33.82;39.46
2021-01-03T15:00:00Z;45.53;45.53;51.08;42.9;34.38;39.93
2021-01-03T16:00:00Z;49.92;49.92;51.1;50.83;35.58;44.05
2021-01-03T17:00:00Z;58;58;51.12;52.73;36.54;46.92
2021-01-03T18:00:00Z;59.5;59.5;51.23;54.02;36.31;48.1
2021-01-03T19:00:00Z;61.09;61.09;51.21;53.39;36.03;46.9
2021-01-03T20:00:00Z;60;60;51.23;49.49;35.65;44.2
2021-01-03T21:00:00Z;53.78;59.4;51.21;43.11;35.29;38.63
2021-01-03T22:00:00Z;49;55.36;51.21;40;34.65;38.69
2021-01-03T23:00:00Z;48.13;53.06;51.11;31.21;32.91;31.56
2021-01-04T00:00:00Z;46.85;50.23;24.06;28.14;29.61;26.16
2021-01-04T01:00:00Z;20;46.64;21.99;23.92;28.12;20.56
2021-01-04T02:00:00Z;3;43.79;16.61;21.2;27.21;20.54
2021-01-04T03:00:00Z;1.5;41.65;16.54;20.99;25.99;17.89
2021-01-04T04:00:00Z;3;41.62;30.03;26.93;25.99;17.86
2021-01-04T05:00:00Z;23.58;44.5;35.04;31;29.61;24.59
2021-01-04T06:00:00Z;53.64;58.88;54.67;43.2;34.17;35.04
2021-01-04T07:00:00Z;52.54;62;54.7;55.04;35.13;50.01
2021-01-04T08:00:00Z;56.32;64.84;56.75;64.4;35.52;55.08
2021-01-04T09:00:00Z;68.24;68.25;59.79;66.69;35.31;62.53
2021-01-04T10:00:00Z;65.97;65.97;59.79;65.41;34.91;62.55
2021-01-04T11:00:00Z;63.9;63.9;56.72;63.88;32.91;61.25
